year,total_rooms,bedrooms,n_weeks_old,living_area,other_area,total_area,monthly_contrib,n_photos,n_photos_360,other_indoor_space,located_on,own_ground,flg_missing_year,flg_missing_total_rooms,flg_missing_bedrooms,flg_missing_n_weeks_old,flg_missing_living_area,flg_missing_other_area,flg_missing_total_area,flg_missing_monthly_contrib,flg_missing_n_photos,flg_missing_n_photos_360,flg_missing_type_of_construction,flg_missing_other_indoor_space,flg_missing_located_on,flg_missing_own_ground,bedrooms**2,bedrooms**3,n_photos**3,located_on**3,living_area**2,total_rooms**3,sqrt(other_area),sqrt(located_on),monthly_contrib**2,sqrt(other_indoor_space),other_indoor_space**3,other_area**2,total_area**3,id,price_category,zipcode,type_of_construction,energy_label
2016.0,3.0,2.0,0.0,120.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,8.0,2744.0,1.0,14400.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20,> 300K,3061,Nieuwbouw,A
1930.0,3.0,2.0,0.0,105.0,0.0,0.0,75.0,28.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,8.0,21952.0,27.0,11025.0,27.0,0.0,1.7320508075688772,5625.0,0.0,0.0,0.0,0.0,21,100K-150K,3074,Bestaande bouw,G
0.0,4.0,3.0,4.0,110.0,15.0,0.0,100.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,13824.0,1.0,12100.0,64.0,3.872983346207417,1.0,10000.0,0.0,0.0,225.0,0.0,22,200K-300K,3081,Bestaande bouw,A
1909.0,5.0,4.0,0.0,150.0,0.0,0.0,79.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,64.0,17576.0,0.0,22500.0,125.0,0.0,0.0,6241.0,0.0,0.0,0.0,0.0,23,> 300K,3021,Bestaande bouw,G
1931.0,4.0,3.0,8.0,90.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0,27.0,3375.0,0.0,8100.0,64.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,24,< 100K,3043,Bestaande bouw,F
1980.0,4.0,3.0,3.0,110.0,2.0,0.0,0.0,32.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,27.0,32768.0,0.0,12100.0,64.0,1.4142135623730951,0.0,0.0,1.4142135623730951,8.0,4.0,0.0,26,200K-300K,3069,Bestaande bouw,C
1984.0,4.0,3.0,24.0,84.0,5.0,0.0,92.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,27.0,8000.0,27.0,7056.0,64.0,2.23606797749979,1.7320508075688772,8464.0,0.0,0.0,25.0,0.0,27,100K-150K,3079,Bestaande bouw,C
1979.0,2.0,1.0,0.0,53.0,0.0,0.0,202.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5832.0,1.0,2809.0,8.0,0.0,1.0,40804.0,0.0,0.0,0.0,0.0,29,< 100K,3079,Bestaande bouw,B
1935.0,4.0,3.0,6.0,88.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,27.0,17576.0,8.0,7744.0,64.0,1.4142135623730951,1.4142135623730951,0.0,0.0,0.0,4.0,0.0,30,150K-200K,3039,Bestaande bouw,G
1950.0,4.0,3.0,12.0,68.0,1.0,0.0,0.0,15.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,3375.0,1.0,4624.0,64.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,31,100K-150K,3028,Bestaande bouw,E
